,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected,Year
17,January,01/23/2019,07:26:00,01/23/2019,17:05:00,Colorado: Larimer County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,0,0,2019
18,January,01/24/2019,04:39:00,01/24/2019,05:16:00,Ohio:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2019
19,January,01/28/2019,13:35:00,01/28/2019,13:40:00,Utah: Iron County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack,0,0,2019
20,January,01/29/2019,18:34:00,01/29/2019,18:36:00,Louisiana: Washington Parish;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Unknown,Unknown,2019
21,January,01/30/2019,16:30:00,Unknown,Unknown,Washington:,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0,2019
22,January,01/30/2019,04:23:00,02/02/2019,09:00:00,Illinois: Scott County;,SERC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,Unknown,Unknown,2019
23,January,01/30/2019,09:30:00,01/31/2019,18:00:00,Michigan:,RF,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2019
24,January,01/30/2019,07:00:00,01/30/2019,08:08:00,Illinois: Pike County;,SERC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Severe Weather,Unknown,Unknown,2019
25,January,01/31/2019,21:33:00,01/31/2019,21:34:00,California:,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2019
26,February,02/01/2019,23:57:00,02/02/2019,08:49:00,Nevada,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,1,2019
27,February,02/01/2019,05:35:00,02/01/2019,06:10:00,Massachusetts,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2019
28,February,02/02/2019,10:28:00,02/02/2019,10:29:00,California,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0,2019
29,February,02/05/2019,18:17:00,02/05/2019,20:26:00,California,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.,Severe Weather,42,33200,2019
30,February,02/07/2019,07:39:00,02/07/2019,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370,2019
31,February,02/07/2019,08:55:00,02/09/2019,16:30:00,Michigan,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,233000,2019
32,February,02/08/2019,10:00:00,02/08/2019,10:30:00,Pennsylvania,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,0,0,2019
33,February,02/08/2019,18:30:00,Unknown,Unknown,Washington,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,50940,2019
34,February,02/13/2019,02:48:00,02/15/2019,00:28:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,182,121000,2019
35,February,02/14/2019,08:50:00,02/14/2019,12:10:00,New Jersey,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,0,0,2019
36,February,02/14/2019,12:15:00,02/14/2019,12:16:00,Utah,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0,2019
37,February,02/19/2019,09:45:00,Unknown,Unknown,Texas,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2019
38,February,02/20/2019,12:50:00,02/20/2019,13:32:00,"Wisconsin, Minnesota, Iowa, Illinois",MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,740,0,2019
39,February,02/23/2019,14:05:00,Unknown,Unknown,Virginia,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,Unknown,Unknown,2019
40,February,02/24/2019,18:00:00,02/25/2019,22:00:00,Pennsylvania,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,132000,2019
41,February,02/24/2019,11:21:00,02/26/2019,17:29:00,"Ohio, Virginia, West Virginia",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,118781,2019
42,February,02/24/2019,18:47:00,02/25/2019,13:55:00,Pennsylvania,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,137216,2019
43,February,02/24/2019,12:31:00,02/24/2019,14:57:00,Ohio,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,157274,2019
44,February,02/24/2019,14:33:00,02/24/2019,18:03:00,Pennsylvania,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,94048,2019
45,February,02/24/2019,20:02:00,02/25/2019,14:30:00,Michigan,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,115000,2019
46,February,02/25/2019,07:45:00,02/25/2019,18:40:00,Massachusetts,NPCC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2019
47,February,02/25/2019,13:35:00,02/26/2019,02:50:00,"Connecticut, Massachusetts, New Hampshire, Maine, Vermont, Rhode Island",NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,72332,2019
48,February,02/27/2019,11:25:00,02/27/2019,17:39:00,Iowa,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2019
49,February,02/27/2019,21:35:00,02/27/2019,21:45:00,South Carolina,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2019
50,February,02/28/2019,07:02:00,02/28/2019,07:33:00,"Oklahoma, Arkansas, Louisiana",SPP RE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2019
51,March,03/04/2019,11:39:00,03/08/2019,16:52:00,Oklahoma:,SPP RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2019
52,March,03/05/2019,09:12:00,03/05/2019,18:57:00,"California: Kern County, Los Angeles County; Utah: Salt Lake County; Wyoming: Converse County;",WECC,Cyber event that causes interruptions of electrical system operations.,System Operations,0,0,2019
53,March,03/13/2019,15:51:00,03/16/2019,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290,2019
54,March,03/13/2019,11:29:00,03/14/2019,21:11:00,Colorado: Jefferson County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,58,58379,2019
55,March,03/13/2019,05:50:00,03/13/2019,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124,2019
56,March,03/13/2019,15:00:00,03/14/2019,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000,2019
57,March,03/13/2019,06:12:00,03/13/2019,06:13:00,California: Los Angeles County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2019
58,March,03/19/2019,22:53:00,03/19/2019,22:54:00,Oklahoma:,SPP RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2019
59,March,03/21/2019,10:00:00,03/21/2019,10:05:00,Utah: Salt Lake County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems. ,Vandalism,0,0,2019
60,March,03/25/2019,07:47:00,03/25/2019,07:48:00,Oregon: Lane County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems. ,Actual Physical Attack,5,Unknown,2019
61,March,03/29/2019,23:36:00,03/30/2019,02:00:00,"California: San Diego County, Los Angeles County;",WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems. ,Suspicious Activity,0,0,2019
62,April,04/01/2019,14:15:00,04/06/2019,17:20:00,"Nevada: Carson City, Consolidated Municipality of[19], Washoe County, Churchill County;",WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack,0,0,2019
63,April,04/01/2019,06:51:00,04/01/2019,07:53:00,New York: Broome County;,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2019
64,April,04/01/2019,06:51:00,04/01/2019,07:53:00,New York: Monroe County;,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2019
65,April,04/02/2019,08:33:00,04/02/2019,09:00:00,California: Kern County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2019
66,April,04/02/2019,10:15:00,04/02/2019,10:16:00,Utah: Salt Lake County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0,2019
67,April,04/03/2019,05:15:00,04/03/2019,12:39:00,California: Fresno County;,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,0,0,2019
68,April,04/04/2019,10:13:00,04/04/2019,12:08:00,Montana:,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2019
69,April,04/07/2019,13:46:00,04/08/2019,17:50:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,537,231956,2019
70,April,04/10/2019,11:59:00,04/10/2019,12:00:00,Virginia:,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2019
71,April,04/11/2019,19:48:00,04/11/2019,20:00:00,Oregon: Washington:,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2019
72,April,04/12/2019,11:20:00,04/12/2019,12:46:00,Minnesota: Martin County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2019
73,April,04/13/2019,18:15:00,04/13/2019,23:15:00,Mississippi: Arkansas: Texas: Louisiana:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,60467,2019
74,April,04/15/2019,04:35:00,04/15/2019,14:40:00,Virginia:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,75290,2019
75,April,04/15/2019,10:00:00,04/15/2019,14:00:00,Minnesota:,MRO,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2019
76,April,04/16/2019,10:30:00,04/16/2019,11:00:00,California: Kern County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2019
77,April,04/17/2019,19:38:00,04/17/2019,23:52:00,Arizona:,WECC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2019
78,April,04/18/2019,20:08:00,04/19/2019,11:00:00,Colorado: Clear Creek County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2019
79,April,04/18/2019,19:55:00,04/19/2019,17:29:00,Alabama: Mississippi: Georgia: Florida:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,116,34695,2019
80,April,04/21/2019,10:40:00,04/21/2019,10:45:00,Utah: Salt Lake County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2019
81,April,04/25/2019,18:03:00,04/25/2019,18:32:00,Arizona: Maricopa County;,WECC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Generation Inadequacy,150,51366,2019
82,April,04/26/2019,01:00:00,04/26/2019,13:27:00,Pennsylvania:,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,7,5830,2019
83,April,04/26/2019,17:46:00,04/27/2019,11:49:00,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,54071,2019
84,April,04/26/2019,15:16:00,04/26/2019,15:17:00,Massachusetts: Hampden County[13];,NPCC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,0,0,2019
85,April,04/28/2019,13:40:00,04/28/2019,14:49:00,South Carolina:,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2019
86,April,04/28/2019,10:43:00,04/29/2019,02:06:00,Ohio:,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2019
87,April,04/29/2019,17:17:00,04/30/2019,09:22:00,Virginia: Surry County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2019
88,April,04/30/2019,12:25:00,04/30/2019,13:11:00,Indiana:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2019
89,May,05/08/2019,09:22:00,05/08/2019,09:56:00,Pennsylvania: Mercer County;,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,29,1,2019
90,May,05/08/2019,15:50:00,05/13/2019,00:00:00,Louisiana: Texas:,SPP RE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Distribution Interruption,Unknown,65844,2019
91,May,05/09/2019,17:55:00,05/11/2019,20:50:00,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,691,238015,2019
92,May,05/09/2019,19:06:00,05/10/2019,02:57:00,Texas: Harris County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,0,0,2019
93,May,05/10/2019,02:00:00,05/10/2019,12:15:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,61008,2019
94,May,05/11/2019,14:08:00,05/11/2019,15:00:00,California: Kern County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2019
95,May,05/15/2019,12:10:00,05/15/2019,12:11:00,West Virginia:,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Unknown,Unknown,2019
96,May,05/18/2019,15:45:00,05/20/2019,04:00:00,"Texas: Ector County, Midland County, Tarrant County, Dallas County, Stephens County, Anderson County, McLennan County, Ellis County, Hunt County, Young County, Bell County, Limestone County, Collin County, Rockwall County, Henderson County, Parker County, Falls County, Freestone County, Kaufman County, Grayson County, Smith County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,68000,2019
97,May,05/18/2019,01:55:00,05/18/2019,15:06:00,Colorado: Wyoming: Nebraska: Utah: Daggett County; New Mexico:,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,30,0,2019
98,May,05/23/2019,16:55:00,05/23/2019,23:40:00,Virginia:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,100000,2019
99,May,05/23/2019,01:11:00,05/23/2019,12:00:00,Indiana:,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,0,0,2019
100,May,05/24/2019,07:28:00,05/24/2019,08:30:00,Kentucky: Shelby County;,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2019
101,May,05/24/2019,20:09:00,05/25/2019,14:23:00,North Dakota: Minnesota:,MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2019
102,May,05/24/2019,21:47:00,05/24/2019,23:58:00,California:,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system,Severe Weather,20,10961,2019
103,May,05/27/2019,22:07:00,05/28/2019,03:00:00,"Ohio: Montgomery County, Darke County, Mercer County, Miami County, Greene County;",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,347,70000,2019
104,June,06/02/2019,18:19:00,06/02/2019,20:43:00,California:,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.,Severe Weather/Transmission Interruption,Unknown,Unknown,2019
105,June,06/04/2019,10:15:00,06/04/2019,13:15:00,Nevada: Washoe County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2019
106,June,06/05/2019,08:37:00,06/05/2019,08:40:00,Idaho: Bannock County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,0,0,2019
107,June,06/05/2019,10:16:00,06/05/2019,10:17:00,South Dakota: Lincoln County;,MRO,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2019
108,June,06/05/2019,09:46:00,06/05/2019,12:00:00,California: Kern County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2019
109,June,06/06/2019,18:09:00,06/06/2019,18:35:00,Texas: Bexar County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,55017,2019
110,June,06/07/2019,14:43:00,06/07/2019,16:20:00,Texas: Pecos County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,8,1,2019
111,June,06/08/2019,15:50:00,06/08/2019,19:40:00,Texas: Potter County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2019
112,June,06/09/2019,14:45:00,06/13/2019,22:30:00,"Texas: Collin County, Dallas County, Denton County, Palo Pinto County, Tarrant County, Ellis County, Williamson County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,558000,2019
113,June,06/11/2019,15:11:00,06/11/2019,17:00:00,"North Dakota: Mountrail County, Williams County;",MRO,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2019
114,June,06/11/2019,07:52:00,06/11/2019,07:53:00,Utah:,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0,2019
115,June,06/12/2019,14:56:00,06/12/2019,15:50:00,"California: Imperial County, Riverside County;",WECC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Generation Inadequacy,982,30907,2019
116,June,06/16/2019,02:00:00,06/17/2019,23:59:00,"Texas: Dallas County, Tarrant County, Collin County, Denton County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,340000,2019
117,June,06/16/2019,03:25:00,Unknown,Unknown,Oklahoma:,SPP RE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,Unknown,Unknown,2019
118,June,06/18/2019,06:21:00,06/18/2019,06:40:00,Washington: Grant County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2019
119,June,06/19/2019,11:00:00,06/19/2019,11:01:00,Oklahoma:,SPP RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2019
120,June,06/19/2019,22:30:00,06/20/2019,19:00:00,Arkansas:,SPP RE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,82045,2019
121,June,06/19/2019,15:00:00,Unknown,Unknown,Nevada: Clark County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2019
122,June,06/20/2019,16:11:00,06/21/2019,12:45:00,Virginia:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,60000,2019
123,June,06/21/2019,18:36:00,06/21/2019,19:27:00,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2019
124,June,06/21/2019,19:15:00,Unknown,Unknown,Kentucky: Tennessee:,SERC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.,Severe Weather,Unknown,50000,2019
125,June,06/21/2019,10:00:00,06/21/2019,11:00:00,California: Kern County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2019
126,June,06/22/2019,20:46:00,06/23/2019,00:30:00,Alabama: Georgia:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,115,34637,2019
127,June,06/23/2019,22:00:00,06/25/2019,23:00:00,"Texas: Dallas County, Denton County, Ellis County, Collin County, Ellis County, Hood County, Johnson County, Kaufman County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,265000,2019
128,June,06/23/2019,05:13:00,06/23/2019,10:58:00,Arkansas:,SPP RE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,47,16199,2019
129,June,06/24/2019,09:40:00,06/24/2019,15:17:00,Oklahoma: Oklahoma County;,SPP RE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,2019
130,June,06/24/2019,05:30:00,06/24/2019,08:45:00,Arkansas:,SPP RE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,56451,2019
131,June,06/26/2019,13:58:00,06/26/2019,14:03:00,North Dakota: Williams County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,53,0,2019
132,June,06/28/2019,14:25:00,Unknown,Unknown,Idaho: Nez Perce County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2019
133,June,06/30/2019,15:15:00,06/30/2019,16:15:00,"New York: Nassau County, Suffolk County;",NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,3189,52498,2019
